System,Dataset,Model,MAE,MAPE,RMSE
batlik,jelly.csv,Linear Regression,0.48410771411209474,6.19222396397808,0.6673061413749145
batlik,jelly.csv,XGBoost,0.0622183801113112,1.202057030191525,0.10009474560617167
batlik,jelly.csv,Linear Regression,0.4672310903940823,4.5152651182416434,0.6111780515511622
batlik,jelly.csv,XGBoost,0.059309830840247685,0.35508937109479494,0.10679545144036358
batlik,jelly.csv,Linear Regression,0.4732399413663827,4.5485213602006445,0.6505693920472679
batlik,jelly.csv,XGBoost,0.06429865024438416,0.8668024357897957,0.11002536880334422
batlik,jelly.csv,Linear Regression,0.4709447877069894,4.6429347063133815,0.6541586382002358
batlik,jelly.csv,XGBoost,0.06542795405498004,0.9347596713895953,0.11998429664856629
batlik,jelly.csv,Linear Regression,0.4834221685775754,5.796769094270608,0.6707064852964744
batlik,jelly.csv,XGBoost,0.06540779135889924,0.8602209585856883,0.11497623651796504
batlik,karte.csv,Linear Regression,0.3613294172396278,1.369291229122663,0.44888768475038254
batlik,karte.csv,XGBoost,0.05591652213250428,0.4017591503235242,0.0747670434095715
batlik,karte.csv,Linear Regression,0.359883707657873,1.1390000986159694,0.44298049049050087
batlik,karte.csv,XGBoost,0.05847493108015109,0.34994213083522396,0.07723537273535912
batlik,karte.csv,Linear Regression,0.37003065768098625,1.3227229668035119,0.4637872429746089
batlik,karte.csv,XGBoost,0.05504145165915982,0.36043732759261615,0.07536106789614541
batlik,karte.csv,Linear Regression,0.36503009782059304,1.6098464109663446,0.44964080115745453
batlik,karte.csv,XGBoost,0.05390443090810247,0.4718928787378744,0.07127633409482471
batlik,karte.csv,Linear Regression,0.3709809207663871,1.3983180133258426,0.468378214558984
batlik,karte.csv,XGBoost,0.05899913698133462,0.43498540071134095,0.07871715347732974
batlik,mandelbrot.csv,Linear Regression,0.39610592258940236,1.9238025401613976,0.5419636499863204
batlik,mandelbrot.csv,XGBoost,0.17053312965399028,0.8046479414194867,0.2227653596474504
batlik,mandelbrot.csv,Linear Regression,0.36638768479336836,1.3840337352450323,0.5045004693834502
batlik,mandelbrot.csv,XGBoost,0.17141628728169922,0.7028791179031442,0.22585024257847067
batlik,mandelbrot.csv,Linear Regression,0.40200492443474733,1.5621560481304166,0.559793089625369
batlik,mandelbrot.csv,XGBoost,0.16768843390674693,0.8051246131797539,0.22602704472903482
batlik,mandelbrot.csv,Linear Regression,0.40779710316235473,1.2787295373812289,0.5583942411148236
batlik,mandelbrot.csv,XGBoost,0.17222310946851938,0.6012591343601961,0.2273373810128264
batlik,mandelbrot.csv,Linear Regression,0.4060055611685265,1.4727026262286074,0.5659482144024256
batlik,mandelbrot.csv,XGBoost,0.16488389436569134,0.6883378017861591,0.2177488466867081
batlik,strawberry.csv,Linear Regression,0.3019605466500589,0.857809105930647,0.4122480000552085
batlik,strawberry.csv,XGBoost,0.11916616444244671,0.4888789363112482,0.15329845875569287
batlik,strawberry.csv,Linear Regression,0.2813545637883526,0.9610660293997236,0.3879064249259084
batlik,strawberry.csv,XGBoost,0.11678003447729651,0.39669533320357314,0.14865824727641122
batlik,strawberry.csv,Linear Regression,0.2968778847177319,1.5626780463805185,0.41284735085346674
batlik,strawberry.csv,XGBoost,0.1182906275716214,0.6751790826890942,0.14857613204226613
batlik,strawberry.csv,Linear Regression,0.2889881497320308,0.9013680663223822,0.4139407609512493
batlik,strawberry.csv,XGBoost,0.11315855003498992,0.41916732159043324,0.14435943510838584
